,Epoch,ACC,NMI,ARI,PUR,loss
0,1.0,0.5716,0.6572692588749064,0.5063980193388836,0.6262,7.8065188358991575
1,2.0,0.853,0.8635791155123717,0.7932768271821949,0.853,6.974903779152112
2,3.0,0.9798,0.952622831321402,0.9559944205792438,0.9798,6.709090880858592
3,4.0,0.989,0.9699882451290655,0.9757373844026008,0.989,6.584284770183074
4,5.0,0.9892,0.9711126454495012,0.9761922149855028,0.9892,6.4616097670335035
5,6.0,0.9922,0.9782210462670096,0.9827493291699703,0.9922,6.3854600833012505
6,7.0,0.9928,0.9797300778799424,0.9840597327145594,0.9928,6.346034673544077
7,8.0,0.9946,0.984459997427809,0.988052454891439,0.9946,6.304581544338128
8,9.0,0.9934,0.9812552166332456,0.9853927945100148,0.9934,6.261868611360208
9,10.0,0.9942,0.9834969484253452,0.9871580016408468,0.9942,6.2247084226363745
10,11.0,0.9952,0.9860651714123743,0.9893613895072007,0.9952,6.1971833522503195
11,12.0,0.9954,0.9866457672258063,0.9898021790103341,0.9954,6.178158650031457
12,13.0,0.9952,0.9862137786326077,0.9893565790810089,0.9952,6.1592320295480585
13,14.0,0.9956,0.9876330409578902,0.9902483392168714,0.9956,6.137970203008408
14,15.0,0.995,0.985422668265411,0.9889170775631099,0.995,6.124485187041453
15,16.0,0.996,0.9882384108256369,0.9911285578584084,0.996,6.128642363426013
16,17.0,0.9956,0.9868649438743702,0.9902394344038103,0.9956,6.116586086077568
17,18.0,0.9952,0.9859285635856363,0.9893591746732863,0.9952,6.112926287528796
18,19.0,0.9944,0.9841220993398704,0.9875935150985694,0.9944,6.1015269328386355
19,20.0,0.9958,0.9882327811803582,0.9906777040196391,0.9958,6.096571873395871
20,21.0,0.9958,0.9878057212015827,0.9906793853118654,0.9958,6.086826715713892
21,22.0,0.996,0.9881917389126946,0.9911232339368563,0.996,6.1003199479518795
22,23.0,0.9958,0.9880235782079618,0.9906855788150495,0.9958,6.087664799812512
23,24.0,0.9952,0.9861398686277497,0.9893600803224685,0.9952,6.073734943683331
24,25.0,0.9958,0.9878523155693166,0.9906842198570943,0.9958,6.065341252547044
25,26.0,0.9958,0.9879268375328558,0.9906838177740355,0.9958,6.057729268685366
26,27.0,0.9962,0.9888656819497048,0.9915764410550175,0.9962,6.064914703369141
27,28.0,0.9958,0.9876122815564546,0.9906864294681352,0.9958,6.067698319753011
28,29.0,0.9964,0.9895669505588429,0.9920212420052722,0.9964,6.066602376791147
29,30.0,0.9958,0.9880933986443685,0.9906891473710848,0.9958,6.064321077786959
30,31.0,0.9966,0.9899517324581087,0.9924571431537186,0.9966,6.05932999879886
31,32.0,0.9974,0.9922166579009243,0.9942300749738794,0.9974,6.059384590540176
32,33.0,0.9968,0.9906231397712787,0.9928992565184764,0.9968,6.070094939989922
33,34.0,0.9972,0.9917097999954517,0.9937830759610042,0.9972,6.059384040343455
34,35.0,0.9972,0.991875049144144,0.9937817557441521,0.9972,6.063758947910407
35,36.0,0.9974,0.9925023133426407,0.9942296646862526,0.9974,6.057677721365904
36,37.0,0.9974,0.99233628255254,0.9942269726623129,0.9974,6.06122620900472
37,38.0,0.9968,0.9904575404567497,0.9928988138055116,0.9968,6.050971214587872
38,39.0,0.997,0.9912494404680819,0.9933422999074921,0.997,6.066062560448279
39,40.0,0.997,0.9910834942467116,0.9933400618322046,0.997,6.066197945521428
40,41.0,0.9968,0.9906233113891655,0.9929001621858761,0.9968,6.061102145757431
41,42.0,0.9968,0.9904570118738943,0.9928961676602713,0.9968,6.066030600132087
42,43.0,0.9968,0.9904568398132972,0.9928952619859446,0.9968,6.068635414808225
43,44.0,0.9976,0.9928422622739742,0.9946695485093258,0.9976,6.055801464961125
44,45.0,0.9972,0.9917102380307494,0.9937852955306691,0.9972,6.05584427026602
45,46.0,0.9974,0.9923361934074055,0.9942265377058184,0.9974,6.0732149466490135
46,47.0,0.9974,0.992216130499011,0.994227424077083,0.9974,6.06544889547886
47,48.0,0.9972,0.9917098012673798,0.9937830715301434,0.9972,6.062462953420786
48,49.0,0.9972,0.9917097138630041,0.9937826285027003,0.9972,6.056021250211275
49,50.0,0.9978,0.9933481560035988,0.9951116732566752,0.9978,6.065175374348958
50,1.0,0.9978,0.9933481560035988,0.9951116732566752,0.9978,6.065175374348958
51,2.0,0.9978,0.9933481560035988,0.9951116732566752,0.9978,6.065175374348958
52,3.0,0.9978,0.9933481560035988,0.9951116732566752,0.9978,6.065175374348958
53,4.0,0.9978,0.9933481560035988,0.9951116732566752,0.9978,6.065175374348958
54,5.0,0.9978,0.993348330702755,0.9951125602600487,0.9978,6.065175374348958
55,6.0,0.9978,0.993348330702755,0.9951125602600487,0.9978,6.065175374348958
56,7.0,0.9978,0.993348330702755,0.9951125602600487,0.9978,6.065175374348958
57,8.0,0.9978,0.993348330702755,0.9951125602600487,0.9978,6.065175374348958
58,9.0,0.9978,0.993348330702755,0.9951125602600487,0.9978,6.065175374348958
59,10.0,0.9978,0.993348330702755,0.9951125602600487,0.9978,6.065175374348958
60,11.0,0.998,0.9939748975001428,0.9955569134403777,0.998,6.065175374348958
61,12.0,0.998,0.9939748975001428,0.9955569134403777,0.998,6.065175374348958
