,Epoch,ACC,NMI,ARI,PUR,loss
0,1.0,0.6851,0.7274088030684019,0.5764628403862404,0.7074,24.73220023130759
1,2.0,0.7534,0.7798206946999396,0.6600944349948653,0.7627,23.092046982202774
2,3.0,0.7616,0.7952091427534648,0.6804031689675587,0.7901,22.709924306624973
3,4.0,0.8016,0.8323283903071088,0.7369063981832145,0.8077,22.44209842192821
4,5.0,0.7996,0.8423869440939312,0.7348597825346137,0.8143,22.262408916766827
5,6.0,0.7749,0.8341876991400414,0.7231415849527834,0.8147,22.123488646287186
6,7.0,0.7612,0.8295906954998415,0.7221752790891967,0.8095,22.01737922277206
7,8.0,0.7707,0.8420591391152548,0.72447356830195,0.8149,21.899004178169445
8,9.0,0.8158,0.8522376715586082,0.7546349804358735,0.823,21.794091298029972
9,10.0,0.7789,0.8345230610743581,0.7259288141251012,0.8047,21.670777932191505
10,11.0,0.7678,0.8440333168968193,0.7172567252513115,0.8076,21.61352274968074
11,12.0,0.8128,0.852903596658452,0.7490412961840298,0.8128,21.52418102362217
12,13.0,0.778,0.8431589509891049,0.7236138360770932,0.8082,21.45817316495455
13,14.0,0.8144,0.8780400262825675,0.7465700156423591,0.8182,21.384513561542217
14,15.0,0.8281,0.8528499809523415,0.755890693670474,0.8281,21.343057143382538
15,16.0,0.8379,0.8625234045815741,0.7740553123317034,0.8379,21.28949312063364
16,17.0,0.8357,0.8675456170197444,0.7767900428692156,0.8357,21.239695182213417
17,18.0,0.8294,0.8729723444480175,0.7796794417287449,0.8294,21.18591015155499
18,19.0,0.8468,0.8748456760297066,0.7951736165101447,0.8468,21.14978423485389
19,20.0,0.8728,0.8933754603447203,0.8319866589773514,0.8728,21.095001025077625
20,21.0,0.8822,0.8978018988797489,0.8417023885627252,0.8822,21.101474370711887
21,22.0,0.8806,0.8963203514182027,0.8389577058417388,0.8806,21.03563054402669
22,23.0,0.8923,0.9001269792807536,0.8456653147397561,0.8923,21.027637628408577
23,24.0,0.904,0.9065171025720977,0.8566769793403322,0.904,20.977480815007137
24,25.0,0.9036,0.9218969499749232,0.863141053138966,0.9036,20.97304221911308
25,26.0,0.9137,0.9085484609936735,0.8604325940841355,0.9137,20.91635616009052
26,27.0,0.908,0.9213798743631072,0.8683926975946452,0.908,20.881128164438103
27,28.0,0.9448,0.9259703488878847,0.8975538524001034,0.9448,20.880436921731018
28,29.0,0.9563,0.9352203014417263,0.9159649699677944,0.9563,20.85523620018592
29,30.0,0.965,0.9443281794555507,0.9296733531290878,0.965,20.80519206707294
30,31.0,0.9735,0.9503008450991078,0.9444121980047006,0.9735,20.79549065614358
31,32.0,0.982,0.9623809267333999,0.9614586271824425,0.982,20.817712832719852
32,33.0,0.9819,0.9612375799637093,0.961119763796448,0.9819,20.78884066068209
33,34.0,0.9837,0.9658249846644595,0.9648385195874122,0.9837,20.76085824232835
34,35.0,0.9828,0.9650783028540979,0.9631233999560123,0.9828,20.744219119732197
35,36.0,0.9839,0.9659251816022711,0.9652778648317408,0.9839,20.709856669108074
36,37.0,0.9836,0.9659733235513047,0.9646910870710969,0.9836,20.71543649526743
37,38.0,0.9838,0.966093610709396,0.9650285944463678,0.9838,20.677535326052936
38,39.0,0.9865,0.9699121655548741,0.9707379083205094,0.9865,20.674812170175407
39,40.0,0.9868,0.9706079887541444,0.9713922388972277,0.9868,20.637897638174202
40,41.0,0.9855,0.9697266464656871,0.9686831373664951,0.9855,20.63724625416291
41,42.0,0.9862,0.9706475865014558,0.970152950797393,0.9862,20.6457276955629
42,43.0,0.9864,0.9713155145535861,0.9706400738853121,0.9864,20.629672221648388
43,44.0,0.9889,0.9743271142429589,0.9758257859187863,0.9889,20.620435959253555
44,45.0,0.9877,0.9724649291536273,0.9732780764805711,0.9877,20.587133603218273
45,46.0,0.9878,0.9729497878852021,0.9734847170418603,0.9878,20.581036200890175
46,47.0,0.9897,0.9764485092667408,0.9775534363306008,0.9897,20.56036019936586
47,48.0,0.9901,0.9765458309636899,0.9783940075339901,0.9901,20.55600449977777
48,49.0,0.9891,0.9754452575212071,0.9762585251912635,0.9891,20.531104014470028
49,50.0,0.9903,0.9767796149262936,0.9787736572826976,0.9903,20.513841873560196
50,51.0,0.9875,0.973031419942024,0.9728371894131002,0.9875,20.525976181030273
51,52.0,0.9867,0.9722346884450234,0.9712057329262967,0.9867,20.493636400271686
52,53.0,0.991,0.9781773618359534,0.9802970719073869,0.991,20.518529353997646
53,54.0,0.9911,0.9780972088522966,0.9805340067173922,0.9911,20.5114690829546
54,55.0,0.9898,0.9758816066931165,0.9777718622352845,0.9898,20.467387419480545
55,56.0,0.9905,0.9780030516648427,0.9792201556738902,0.9905,20.43601671854655
56,57.0,0.9909,0.9784076553444063,0.9800934935337845,0.9909,20.434865364661583
57,58.0,0.9919,0.9800334444517185,0.9822513540529954,0.9919,20.382613206521057
58,59.0,0.9913,0.978978824161935,0.9809498493927281,0.9913,20.394027563241814
59,60.0,0.9916,0.9797258520015526,0.9816196636984905,0.9916,20.365123602060173
60,61.0,0.9915,0.9790755144671692,0.9813898033327522,0.9915,20.35418833219088
61,62.0,0.9926,0.9811386600610579,0.9837484584261296,0.9926,20.344524236825798
62,63.0,0.9919,0.9800138605929413,0.9822559958677938,0.9919,20.35043735993214
63,64.0,0.9922,0.9803549350657446,0.9828920771181965,0.9922,20.306991136991062
64,65.0,0.9926,0.9816983328302274,0.9837696365362614,0.9926,20.2764829488901
65,66.0,0.9926,0.9813027096093245,0.9837622334858855,0.9926,20.30280039860652
66,67.0,0.9918,0.9795700377673096,0.9820121501956997,0.9918,20.256649702023235
67,68.0,0.9919,0.9797475104247514,0.9822475682973135,0.9919,20.26579851981921
68,69.0,0.9923,0.9807307755079305,0.9831079895635075,0.9923,20.2753845117031
69,70.0,0.9922,0.9807454019549042,0.9828669115516694,0.9922,20.240813475388748
70,71.0,0.9923,0.9809549066347327,0.983097213541701,0.9923,20.255064842028496
71,72.0,0.9931,0.9822881864573829,0.9848376203996534,0.9931,20.248126739110702
72,73.0,0.9926,0.9812215072637175,0.9837696163113009,0.9926,20.267781477708084
73,74.0,0.9932,0.9826120072226794,0.9850742249949898,0.9932,20.25510709713667
74,75.0,0.9929,0.9816875795438793,0.9844012310455698,0.9929,20.30201124533629
75,76.0,0.9923,0.9812111568290063,0.9830964608972331,0.9923,20.309658295068985
76,77.0,0.9928,0.9818845154122678,0.9841806528715492,0.9928,20.277902114085663
77,78.0,0.9936,0.983272988786154,0.9859314752861125,0.9936,20.245360985780373
78,79.0,0.9927,0.9817409749805103,0.9839622678913288,0.9927,20.247912675906452
79,80.0,0.9938,0.9840601334503248,0.9863692024840869,0.9938,20.21468847225874
80,81.0,0.9926,0.9814417376149203,0.9837533862687172,0.9926,20.253204883673252
81,82.0,0.9932,0.9824954242484334,0.9850605328646719,0.9932,20.226627838917267
82,83.0,0.9934,0.9829193254254214,0.9854915023444436,0.9934,20.20632176521497
83,84.0,0.9929,0.9822510011461771,0.984419608128371,0.9929,20.220043818155926
84,85.0,0.9926,0.981608024049964,0.9837571673018555,0.9926,20.197897006303837
85,86.0,0.9932,0.9828698942526319,0.9850647489687375,0.9932,20.174130464211487
86,87.0,0.9929,0.9819148430155237,0.9844047920676308,0.9929,20.162224256075344
87,88.0,0.9928,0.9820154143790628,0.9841868268783683,0.9928,20.17944590250651
88,89.0,0.9935,0.9832197509849333,0.985705317431925,0.9935,20.22546518765963
89,90.0,0.9934,0.9829229630082572,0.9854939938983514,0.9934,20.27771680783003
90,91.0,0.993,0.9822649399937123,0.9846239133940827,0.993,20.227707838400818
91,92.0,0.9931,0.9826272604955602,0.9848527269893466,0.9931,20.194488183045998
92,93.0,0.9937,0.9835462405581343,0.9861519418022856,0.9937,20.201477784376877
93,94.0,0.9935,0.9830676900402966,0.985719953575631,0.9935,20.198256076910557
94,95.0,0.9939,0.9840684682579433,0.9865941713977686,0.9939,20.223350524902344
95,96.0,0.9939,0.9841658252316104,0.9865960917424019,0.9939,20.24610402033879
96,1.0,0.9938,0.9838226976576079,0.986375346774223,0.9938,0.22835494310427934
97,2.0,0.9937,0.983621107732156,0.986158429692228,0.9937,0.22844265668820113
98,3.0,0.9937,0.983621107732156,0.986158429692228,0.9937,0.22851070990929237
99,4.0,0.9935,0.9832214825680607,0.9857207504274388,0.9935,0.22855907831436548
100,5.0,0.9937,0.9837054908199283,0.9861556655387976,0.9937,0.22846009181096003
101,6.0,0.9939,0.984185271364502,0.9865910549653022,0.9939,0.22830571883764023
102,7.0,0.994,0.9843914349389629,0.9868068774140203,0.994,0.22814559936523438
103,8.0,0.9939,0.9841081417340122,0.9865844711004582,0.9939,0.2279965327336238
