,Epoch,ACC,NMI,ARI,PUR
0,1.0,0.18898567842905656,0.15613157695307803,0.06686800474368089,0.22087701166395984
1,2.0,0.22102465672523255,0.21853138639111916,0.09187274407759619,0.2557212461243171
2,3.0,0.2437619961612284,0.24114906905526265,0.1122372512236272,0.27196220286431416
3,4.0,0.25970766277868007,0.2528598374726254,0.11731118698274032,0.29440425217776467
4,5.0,0.2744721689059501,0.26737376958088055,0.12313109669808146,0.3034106009153994
5,6.0,0.271076332496678,0.27170259482428133,0.12279158715397172,0.3113834342241252
6,7.0,0.2734386534770412,0.26931911743751197,0.12225149074571053,0.3110881441015798
7,8.0,0.26620404547467885,0.272214799204709,0.11849563800834481,0.3115310792853979
8,9.0,0.28480732319503915,0.2767357260921273,0.12152488614109277,0.3206850730843053
9,1.0,0.30326295585412666,0.2838578333592882,0.13505831547449143,0.32540971504503174
10,2.0,0.3042964712830356,0.2851330265555322,0.1385474269120187,0.3246714897386682
11,3.0,0.3020817953639451,0.2849115420620289,0.13698745486418926,0.32053742802303264
12,4.0,0.30178650524139966,0.2853409725115118,0.14037951619145356,0.3184703971652148
13,5.0,0.30754466263103497,0.2863772684198029,0.14612220854925553,0.32053742802303264
14,6.0,0.3138934002657611,0.2902237293491111,0.1503196337204795,0.3236379743097593
15,7.0,0.3158127860623062,0.2896988694675565,0.15152866233329257,0.32526206998375906
16,8.0,0.31906097741030565,0.29776624095828635,0.15626670784984753,0.32880555145430385
17,9.0,0.322309168758305,0.30085465004067635,0.15957795954601503,0.3323490329248487
18,10.0,0.32393326443230475,0.30160691953630797,0.1610312163426906,0.33397312859884837
19,11.0,0.32142329839066885,0.293531520795774,0.15751005106669708,0.33175845267975784
20,12.0,0.32334268418721396,0.294262063159168,0.1586349004887603,0.33353019341503026
21,13.0,0.32570500516757717,0.29758091756173355,0.16101557252486193,0.3367783847630297
22,14.0,0.3236379743097593,0.29563310577555035,0.15748878642489245,0.33323490329248484
23,15.0,0.32245681381957775,0.29356905218393387,0.15470236160045425,0.33249667798612137
24,16.0,0.32526206998375906,0.2967059461572447,0.1580746728827608,0.33559722427284805
25,17.0,0.32526206998375906,0.2963010121496178,0.15855580428470673,0.33589251439539347
26,18.0,0.32245681381957775,0.2946859482551513,0.15533953565565659,0.33264432304739405
27,19.0,0.32157094345194154,0.2955984014566858,0.1554846429160055,0.33175845267975784
28,20.0,0.32481913479994096,0.29954741704368804,0.160570296986309,0.3357448693341208
29,21.0,0.3231950391259412,0.2975370559894608,0.15843920183216945,0.33412077366012105
30,22.0,0.32112800826812343,0.29615535599684284,0.1562217873624685,0.3319060977410306
31,23.0,0.32142329839066885,0.29580071860560875,0.15756322483759969,0.33205374280230326
32,24.0,0.32496677986121364,0.2979143700403046,0.15938304898759822,0.33559722427284805
33,25.0,0.32201387863575964,0.2969197948971908,0.15840000478545171,0.33249667798612137
34,26.0,0.32186623357448696,0.29639029656649063,0.15803318722520593,0.3323490329248487
35,27.0,0.32570500516757717,0.29967580764243246,0.1610479475622173,0.3363354495792116
