,Epoch,ACC,NMI,ARI,PUR,loss
0,1.0,0.73,0.5968222280749661,0.5048551848254026,0.73,7.2165988119024975
1,2.0,0.8756,0.7745251305323254,0.7403606583108293,0.8756,6.570027778023167
2,3.0,0.9828,0.9432693389969404,0.9579540482246678,0.9828,6.148618848700273
3,4.0,0.9876,0.9558412104975179,0.9693970634450673,0.9876,5.913015767147667
4,5.0,0.9892,0.9634704171295075,0.9732818225629054,0.9892,5.809628235666375
5,6.0,0.9908,0.9691618232978525,0.9771851534670648,0.9908,5.767898609763698
6,7.0,0.9924,0.974671967746486,0.9810719085157,0.9924,5.707689159794858
7,1.0,0.9928,0.9759083313531082,0.9820752252927683,0.9928,0.09968113271813643
8,2.0,0.9916,0.9714402421410079,0.9791125489483433,0.9916,0.09957599639892578
9,3.0,0.9916,0.9714402421410079,0.9791125489483433,0.9916,0.09954032772465755
10,4.0,0.9912,0.9702726767450387,0.978134998213983,0.9912,0.09960215342672248
11,5.0,0.9908,0.9690413462507581,0.9771514588207318,0.9908,0.09964171836250707
12,6.0,0.9908,0.9690413462507581,0.9771514588207318,0.9908,0.09957687478316457
13,7.0,0.9912,0.9702726767450387,0.978134998213983,0.9912,0.09947751697741057
14,8.0,0.9912,0.9702691535199314,0.9781211613077041,0.9912,0.09931051103692305
15,9.0,0.9912,0.9702691535199314,0.9781211613077041,0.9912,0.09914650415119372
16,10.0,0.9924,0.9746749628336964,0.981083789806867,0.9924,0.09901940822601318
17,11.0,0.9924,0.9746749628336964,0.981083789806867,0.9924,0.09892119859394274
18,12.0,0.992,0.9734388483094865,0.9800814744882719,0.992,0.09886276094537032
19,13.0,0.9924,0.974671967746486,0.9810719085157,0.9924,0.09882509708404541
20,14.0,0.9924,0.974671967746486,0.9810719085157,0.9924,0.09875883554157458
21,15.0,0.9924,0.974671967746486,0.9810719085157,0.9924,0.09873272243298982
22,16.0,0.9924,0.974671967746486,0.9810719085157,0.9924,0.09862553445916426
23,17.0,0.9924,0.974671967746486,0.9810719085157,0.9924,0.09852020991475959
24,18.0,0.9928,0.9759083313531082,0.9820752252927683,0.9928,0.09842013057909514
